Jun 25, 2026  10:34:19 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Jun 25, 2026  10:34:19 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

585.984,   5.7617E-008,   3.4215E-006,   9.4722E-012,   1.8508E-011,   1.8305E-011,   3.4282E-009,   1.4806E-009,   5.2881E-013,   4.4035E-012,   6.0104E-012,  
592.047,   5.7658E-008,   3.4492E-006,   2.9093E-011,   1.7141E-011,   1.8396E-011,   3.1120E-009,   1.3252E-009,   7.1786E-013,   5.5610E-012,   8.1060E-012,  
598.109,   5.7723E-008,   3.4235E-006,   8.4627E-012,   1.7970E-011,   1.7613E-011,   3.0497E-009,   1.4607E-009,   3.0587E-013,   3.6758E-012,   6.5829E-012,  
604.125,   5.7994E-008,   3.4005E-006,   2.8110E-011,   1.8074E-011,   1.8675E-011,   3.1743E-009,   1.4544E-009,   4.5711E-012,   5.4361E-012,   6.2485E-012,  
610.156,   5.5196E-008,   3.3668E-006,   3.0281E-011,   1.8250E-011,   1.8297E-011,   2.7389E-009,   1.2123E-009,   3.2192E-013,   8.3486E-012,   7.4550E-013,  
616.187,   5.7283E-008,   3.3842E-006,   2.9221E-011,   1.8230E-011,   1.7778E-011,   2.9819E-009,   1.4182E-009,   5.0384E-013,   1.0345E-011,   1.1958E-012,  
622.234,   5.7383E-008,   3.3707E-006,   2.8480E-011,   1.7666E-011,   1.7727E-011,   3.0506E-009,   1.4444E-009,   4.3963E-013,   8.8952E-012,   5.3130E-012,  
628.281,   5.2730E-008,   3.3883E-006,   2.7254E-011,   1.7872E-011,   1.7913E-011,   3.1039E-009,   1.2981E-009,   8.2130E-013,   8.7195E-012,   7.9170E-012,  
634.328,   5.5615E-008,   3.3894E-006,   2.7830E-011,   1.8423E-011,   1.6922E-011,   2.7498E-009,   1.3216E-009,   4.5836E-013,   4.8627E-012,   7.4194E-012,  
640.344,   5.3651E-008,   3.3963E-006,   2.9836E-011,   1.7897E-011,   1.7662E-011,   2.7254E-009,   1.4246E-009,   3.4332E-013,   3.5866E-012,   6.1121E-012,  
646.390,   5.5790E-008,   3.3799E-006,   2.9089E-011,   1.8195E-011,   1.7579E-011,   3.1960E-009,   1.3975E-009,   6.6525E-013,   4.3366E-012,   7.5023E-012,  
652.437,   5.7424E-008,   3.3941E-006,   3.0612E-011,   1.8095E-011,   1.7260E-011,   3.2538E-009,   1.3315E-009,   4.5658E-013,   4.6870E-012,   5.1097E-013,  
658.484,   5.7074E-008,   3.3914E-006,   2.2740E-013,   1.7867E-011,   1.7888E-011,   2.9539E-009,   1.4842E-009,   8.6678E-013,   8.5974E-012,   1.5044E-012,  
664.562,   5.6347E-008,   3.3949E-006,   2.9830E-011,   1.8296E-011,   1.7691E-011,   2.9313E-009,   1.3279E-009,   5.9480E-013,   4.4035E-012,   1.1405E-012,  
