Jul 29, 2026  10:22:26 AM
Residual Gas Analyzer Software 
RGA Software Version, 3.214.004

Pressure vs Time Scan Setup:

Active channels in Scan, 10 
Units, Torr
Sample Period, 1.00, sec
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1159, Volts
CEM Gain, 1.01E+003 
Sensitivity Factor, 1.11E-004 
Filament Current, 1.00, mAmps
Start time, Jul 29, 2026  10:22:26 AM 
Channel,  Mass(amu),     Name,                 Cal Factor,  Noise Floor, CEM Status

1         2.00           Hydrogen              1.00         3            OFF
2         4.00           Helium                1.00         3            OFF
3         26.00          Dummy-26              1.00         3            ON
4         28.00          Nitrogen              1.00         3            ON
5         32.00          Oxygen                1.00         3            ON
6         34.00          Dummy-34              1.00         3            OFF
7         40.00          Argon                 1.00         3            OFF
8         42.00          Dummy-42              1.00         3            ON
9         44.00          Carbon dioxide        1.00         3            ON
10        84.00          Krypton               1.00         3            ON


Time(s)      Channel#1   Channel#2   Channel#3   Channel#4   Channel#5   Channel#6   Channel#7   Channel#8   Channel#9   Channel#10  

452.718,   4.5939E-008,   2.4692E-006,   2.9722E-011,   1.9692E-011,   2.1303E-011,   3.3189E-009,   1.3089E-009,   3.5759E-013,   6.4545E-012,   4.9225E-013,  
458.765,   4.5430E-008,   2.4714E-006,   3.1599E-011,   1.9395E-011,   2.0376E-011,   3.0515E-009,   1.2069E-009,   4.4587E-013,   7.1866E-012,   6.9556E-013,  
464.843,   4.2497E-008,   2.4555E-006,   3.0369E-011,   1.9667E-011,   2.2588E-011,   3.2313E-009,   1.6179E-009,   2.6574E-013,   7.4078E-012,   4.3696E-013,  
470.875,   4.6978E-008,   2.4655E-006,   6.2779E-012,   1.9060E-011,   2.0699E-011,   3.5068E-009,   1.5050E-009,   4.7619E-013,   6.0996E-012,   7.4639E-013,  
476.875,   4.6546E-008,   2.4791E-006,   3.0335E-011,   1.9056E-011,   2.0487E-011,   3.3541E-009,   1.7895E-009,   4.9760E-013,   7.8135E-012,   4.6549E-013,  
482.906,   4.7170E-008,   2.4787E-006,   7.4657E-012,   1.9832E-011,   2.0691E-011,   3.3640E-009,   1.3613E-009,   5.4218E-013,   6.8798E-012,   6.4117E-013,  
488.922,   4.4836E-008,   2.4706E-006,   2.9001E-011,   2.0665E-011,   2.0769E-011,   3.1328E-009,   1.5845E-009,   2.4077E-013,   8.1114E-012,   6.3136E-013,  
494.984,   4.1825E-008,   2.4586E-006,   4.7174E-012,   1.8543E-011,   2.1370E-011,   3.5501E-009,   1.5149E-009,   4.6906E-013,   8.5938E-012,   5.6537E-013,  
501.047,   4.3914E-008,   2.4562E-006,   1.0272E-011,   1.9205E-011,   2.0514E-011,   3.3713E-009,   1.4481E-009,   5.1008E-013,   6.5526E-012,   3.5224E-013,  
507.078,   4.4569E-008,   2.4680E-006,   2.9675E-011,   2.0101E-011,   2.0429E-011,   3.5808E-009,   1.5149E-009,   3.7721E-013,   7.9544E-012,   3.3708E-013,  
513.109,   4.4723E-008,   2.4578E-006,   8.3976E-012,   1.9265E-011,   2.0522E-011,   3.0813E-009,   1.3080E-009,   3.8880E-013,   7.1572E-012,   9.3366E-013,  
519.140,   4.3805E-008,   2.4664E-006,   6.7675E-012,   1.9325E-011,   2.1522E-011,   3.5239E-009,   1.4318E-009,   6.3314E-014,   7.2374E-012,   6.7149E-013,  
525.203,   4.6875E-008,   2.4566E-006,   2.8654E-011,   1.9186E-011,   2.0455E-011,   3.4282E-009,   1.4779E-009,   2.5326E-013,   6.7291E-012,   7.8028E-013,  
531.203,   4.4263E-008,   2.4564E-006,   2.8105E-011,   1.9130E-011,   2.0155E-011,   3.2972E-009,   1.4580E-009,   3.8078E-013,   8.5412E-012,   4.1556E-013,  
537.281,   4.5671E-008,   2.4689E-006,   6.2262E-012,   1.8762E-011,   2.0593E-011,   3.3451E-009,   1.6983E-009,   4.5479E-013,   7.4907E-012,   4.7263E-013,  
543.328,   4.6909E-008,   2.4489E-006,   2.8940E-011,   1.9701E-011,   2.0569E-011,   3.5556E-009,   1.4309E-009,   1.2395E-013,   6.7541E-012,   4.5123E-013,  
549.359,   4.5704E-008,   2.4491E-006,   2.8046E-011,   1.9849E-011,   2.0632E-011,   3.3460E-009,   1.6883E-009,   4.5033E-013,   6.7488E-012,   4.1466E-013,  
555.375,   4.2389E-008,   2.4639E-006,   2.7501E-011,   1.8982E-011,   2.0568E-011,   3.4986E-009,   1.5781E-009,   1.4357E-013,   6.9663E-012,   3.0765E-013,  
561.437,   4.6623E-008,   2.4649E-006,   2.8153E-011,   1.8530E-011,   2.0898E-011,   3.5176E-009,   1.8238E-009,   5.0830E-013,   8.0329E-012,   7.4818E-013,  
567.500,   4.5190E-008,   2.4594E-006,   2.7449E-011,   1.9248E-011,   2.0862E-011,   3.6007E-009,   1.5510E-009,   2.9517E-013,   6.4991E-012,   5.4397E-013,  
573.562,   4.7284E-008,   2.4567E-006,   2.8160E-011,   1.9890E-011,   2.0530E-011,   3.6025E-009,   1.3595E-009,   4.6728E-013,   6.6293E-012,   4.5301E-013,  
579.593,   4.6468E-008,   2.4616E-006,   2.8285E-011,   1.8813E-011,   2.0577E-011,   3.5077E-009,   1.5384E-009,   3.4867E-013,   6.8576E-012,   3.7008E-013,  
585.593,   4.7177E-008,   2.4692E-006,   7.7136E-012,   1.8893E-011,   2.0978E-011,   3.7091E-009,   1.7164E-009,   1.3733E-013,   7.2544E-012,   4.4052E-013,  
591.593,   4.5070E-008,   2.4636E-006,   2.8411E-011,   1.8417E-011,   1.9791E-011,   3.5068E-009,   1.5818E-009,   1.3109E-013,   6.4589E-012,   4.8244E-013,  
597.625,   4.5290E-008,   2.4412E-006,   9.9983E-012,   1.8717E-011,   2.0969E-011,   3.5041E-009,   1.6052E-009,   4.5568E-013,   7.2481E-012,   5.8053E-013,  
603.656,   4.4660E-008,   2.4482E-006,   5.1713E-012,   1.9429E-011,   2.0669E-011,   3.2855E-009,   1.5113E-009,  -7.4907E-014,   7.6361E-012,   1.0023E-012,  
609.687,   4.5403E-008,   2.4733E-006,   6.9512E-012,   1.9908E-011,   2.0294E-011,   3.4661E-009,   1.4553E-009,   1.8727E-013,   8.0364E-012,   5.3237E-013,  
615.703,   4.7733E-008,   2.5167E-006,   1.1237E-011,   1.9184E-011,   2.0323E-011,   3.6070E-009,   1.4354E-009,   3.6294E-013,   8.1479E-012,   5.4753E-013,  
